category_round_id,round_name,score,ascents,athlete_id,rank,firstname,lastname,paraclimbing_sport_class,sport_class_status,country,federation_id,comp_name,starting_group,speed_elimination_stages
6141,Qualification,27.25,"[{'route_id': 1085, 'route_name': '1', 'top': False, 'plus': True, 'rank': 19, 'corrective_rank': 22.5, 'score': '25+'}, {'route_id': 1086, 'route_name': '2', 'top': False, 'plus': False, 'rank': 31, 'corrective_rank': 33, 'score': '29'}]",1486,17.0,Ievgeniia,KAZBEKOVA,,,UKR,18,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6768,Semi-Final,30,"[{'route_id': 5554, 'route_name': '1', 'top': False, 'score': '30', 'plus': False, 'restarted': False, 'time_ms': 190000, 'modified': '2021-09-21 07:15:52 +00:00', 'status': 'confirmed'}]",1486,17.0,Ievgeniia,KAZBEKOVA,,,UKR,18,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6141,Qualification,20.15,"[{'route_id': 1085, 'route_name': '1', 'top': False, 'plus': False, 'rank': 27, 'corrective_rank': 28, 'score': '25'}, {'route_id': 1086, 'route_name': '2', 'top': False, 'plus': True, 'rank': 14, 'corrective_rank': 14.5, 'score': '38+'}]",144,18.0,Elena,KRASOVSKAIA,,,CFR,101,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6768,Semi-Final,29,"[{'route_id': 5554, 'route_name': '1', 'top': False, 'score': '29', 'plus': False, 'restarted': False, 'time_ms': 197000, 'modified': '2021-09-21 07:56:30 +00:00', 'status': 'confirmed'}]",144,18.0,Elena,KRASOVSKAIA,,,CFR,101,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6141,Qualification,9.5,"[{'route_id': 1085, 'route_name': '1', 'top': False, 'plus': True, 'rank': 9, 'corrective_rank': 9.5, 'score': '36+'}, {'route_id': 1086, 'route_name': '2', 'top': False, 'plus': True, 'rank': 6, 'corrective_rank': 9.5, 'score': '39+'}]",1161,19.0,Mia,KRAMPL,,,SLO,15,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6768,Semi-Final,28+,"[{'route_id': 5554, 'route_name': '1', 'top': False, 'score': '28+', 'plus': True, 'restarted': False, 'time_ms': 176000, 'modified': '2021-09-21 08:54:47 +00:00', 'status': 'confirmed'}]",1161,19.0,Mia,KRAMPL,,,SLO,15,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6141,Qualification,20.68,"[{'route_id': 1085, 'route_name': '1', 'top': False, 'plus': True, 'rank': 19, 'corrective_rank': 22.5, 'score': '25+'}, {'route_id': 1086, 'route_name': '2', 'top': False, 'plus': True, 'rank': 17, 'corrective_rank': 19, 'score': '37+'}]",11420,20.0,Ignacia,MELLADO QUINTEROS,,,CHI,58,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6768,Semi-Final,28+,"[{'route_id': 5554, 'route_name': '1', 'top': False, 'score': '28+', 'plus': True, 'restarted': False, 'time_ms': 208000, 'modified': '2021-09-21 07:51:42 +00:00', 'status': 'confirmed'}]",11420,20.0,Ignacia,MELLADO QUINTEROS,,,CHI,58,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6141,Qualification,23.24,"[{'route_id': 1085, 'route_name': '1', 'top': False, 'plus': True, 'rank': 19, 'corrective_rank': 22.5, 'score': '25+'}, {'route_id': 1086, 'route_name': '2', 'top': False, 'plus': True, 'rank': 24, 'corrective_rank': 24, 'score': '33+'}]",1148,21.0,Tjasa,SLEMENSEK,,,SLO,15,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6768,Semi-Final,28+,"[{'route_id': 5554, 'route_name': '1', 'top': False, 'score': '28+', 'plus': True, 'restarted': False, 'time_ms': 197000, 'modified': '2021-09-21 07:34:08 +00:00', 'status': 'confirmed'}]",1148,21.0,Tjasa,SLEMENSEK,,,SLO,15,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6141,Qualification,27.13,"[{'route_id': 1085, 'route_name': '1', 'top': False, 'plus': True, 'rank': 30, 'corrective_rank': 32, 'score': '23+'}, {'route_id': 1086, 'route_name': '2', 'top': False, 'plus': True, 'rank': 23, 'corrective_rank': 23, 'score': '35+'}]",3113,22.0,Hannah,MEUL,,,GER,6,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6768,Semi-Final,28+,"[{'route_id': 5554, 'route_name': '1', 'top': False, 'score': '28+', 'plus': True, 'restarted': False, 'time_ms': 184000, 'modified': '2021-09-21 07:23:17 +00:00', 'status': 'confirmed'}]",3113,22.0,Hannah,MEUL,,,GER,6,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6141,Qualification,23.04,"[{'route_id': 1085, 'route_name': '1', 'top': False, 'plus': True, 'rank': 18, 'corrective_rank': 18, 'score': '31+'}, {'route_id': 1086, 'route_name': '2', 'top': False, 'plus': True, 'rank': 29, 'corrective_rank': 29.5, 'score': '29+'}]",3254,23.0,Andrea,KÜMIN,,,SUI,8,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6768,Semi-Final,27+,"[{'route_id': 5554, 'route_name': '1', 'top': False, 'score': '27+', 'plus': True, 'restarted': False, 'time_ms': 167000, 'modified': '2021-09-21 07:43:30 +00:00', 'status': 'confirmed'}]",3254,23.0,Andrea,KÜMIN,,,SUI,8,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6141,Qualification,21.47,"[{'route_id': 1085, 'route_name': '1', 'top': False, 'plus': True, 'rank': 42, 'corrective_rank': 48.5, 'score': '19+'}, {'route_id': 1086, 'route_name': '2', 'top': False, 'plus': True, 'rank': 6, 'corrective_rank': 9.5, 'score': '39+'}]",1155,24.0,Lana,SKUSEK,,,SLO,15,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6768,Semi-Final,24,"[{'route_id': 5554, 'route_name': '1', 'top': False, 'score': '24', 'plus': False, 'restarted': False, 'time_ms': 161000, 'modified': '2021-09-21 07:47:09 +00:00', 'status': 'confirmed'}]",1155,24.0,Lana,SKUSEK,,,SLO,15,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6141,Qualification,27.25,"[{'route_id': 1085, 'route_name': '1', 'top': False, 'plus': True, 'rank': 19, 'corrective_rank': 22.5, 'score': '25+'}, {'route_id': 1086, 'route_name': '2', 'top': False, 'plus': False, 'rank': 31, 'corrective_rank': 33, 'score': '29'}]",1239,25.0,Julia,FISER,,,AUT,16,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6768,Semi-Final,22,"[{'route_id': 5554, 'route_name': '1', 'top': False, 'score': '22', 'plus': False, 'restarted': False, 'time_ms': 140000, 'modified': '2021-09-21 07:25:01 +00:00', 'status': 'confirmed'}]",1239,25.0,Julia,FISER,,,AUT,16,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6141,Qualification,19.75,"[{'route_id': 1085, 'route_name': '1', 'top': False, 'plus': True, 'rank': 13, 'corrective_rank': 15, 'score': '34+'}, {'route_id': 1086, 'route_name': '2', 'top': False, 'plus': False, 'rank': 26, 'corrective_rank': 26, 'score': '32'}]",947,26.0,Camilla,MORONI,,,ITA,13,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6768,Semi-Final,21+,"[{'route_id': 5554, 'route_name': '1', 'top': False, 'score': '21+', 'plus': True, 'restarted': False, 'time_ms': 107000, 'modified': '2021-09-21 07:59:31 +00:00', 'status': 'confirmed'}]",947,26.0,Camilla,MORONI,,,ITA,13,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6141,Qualification,22.25,"[{'route_id': 1085, 'route_name': '1', 'top': False, 'plus': True, 'rank': 19, 'corrective_rank': 22.5, 'score': '25+'}, {'route_id': 1086, 'route_name': '2', 'top': False, 'plus': True, 'rank': 22, 'corrective_rank': 22, 'score': '36+'}]",4301,27.0,Michelle,HULLIGER,,,SUI,8,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6768,Semi-Final,21+,"[{'route_id': 5554, 'route_name': '1', 'top': False, 'score': '21+', 'plus': True, 'restarted': False, 'time_ms': 187000, 'modified': '2021-09-21 07:43:26 +00:00', 'status': 'confirmed'}]",4301,27.0,Michelle,HULLIGER,,,SUI,8,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6141,Qualification,29.43,"[{'route_id': 1085, 'route_name': '1', 'top': False, 'plus': True, 'rank': 19, 'corrective_rank': 22.5, 'score': '25+'}, {'route_id': 1086, 'route_name': '2', 'top': False, 'plus': True, 'rank': 36, 'corrective_rank': 38.5, 'score': '28+'}]",12537,28.0,Kylie,CULLEN,,,USA,20,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6141,Qualification,30.36,"[{'route_id': 1085, 'route_name': '1', 'top': False, 'plus': True, 'rank': 42, 'corrective_rank': 48.5, 'score': '19+'}, {'route_id': 1086, 'route_name': '2', 'top': False, 'plus': True, 'rank': 17, 'corrective_rank': 19, 'score': '37+'}]",1438,29.0,Michaela,SMETANOVA,,,CZE,17,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6141,Qualification,30.4,"[{'route_id': 1085, 'route_name': '1', 'top': False, 'plus': False, 'rank': 27, 'corrective_rank': 28, 'score': '25'}, {'route_id': 1086, 'route_name': '2', 'top': False, 'plus': False, 'rank': 31, 'corrective_rank': 33, 'score': '29'}]",316,30.0,Chloe,CAULIER,,,BEL,9,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6141,Qualification,30.72,"[{'route_id': 1085, 'route_name': '1', 'top': False, 'plus': True, 'rank': 30, 'corrective_rank': 32, 'score': '23+'}, {'route_id': 1086, 'route_name': '2', 'top': False, 'plus': True, 'rank': 29, 'corrective_rank': 29.5, 'score': '29+'}]",4320,31.0,Roxana,WIENAND,,,GER,6,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6141,Qualification,30.74,"[{'route_id': 1085, 'route_name': '1', 'top': False, 'plus': True, 'rank': 13, 'corrective_rank': 15, 'score': '34+'}, {'route_id': 1086, 'route_name': '2', 'top': False, 'plus': True, 'rank': 61, 'corrective_rank': 63, 'score': '11+'}]",530,32.0,Nolwenn,ARC,,,FRA,10,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6141,Qualification,31.3,"[{'route_id': 1085, 'route_name': '1', 'top': False, 'plus': False, 'rank': 35, 'corrective_rank': 35, 'score': '23'}, {'route_id': 1086, 'route_name': '2', 'top': False, 'plus': False, 'rank': 28, 'corrective_rank': 28, 'score': '30'}]",1526,33.0,Nika,POTAPOVA,,,UKR,18,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6141,Qualification,31.61,"[{'route_id': 1085, 'route_name': '1', 'top': False, 'plus': True, 'rank': 36, 'corrective_rank': 37, 'score': '22+'}, {'route_id': 1086, 'route_name': '2', 'top': False, 'plus': False, 'rank': 27, 'corrective_rank': 27, 'score': '31'}]",226,34.0,Olesya,PROSEKOVA,,,CFR,101,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6141,Qualification,32.17,"[{'route_id': 1085, 'route_name': '1', 'top': False, 'plus': True, 'rank': 19, 'corrective_rank': 22.5, 'score': '25+'}, {'route_id': 1086, 'route_name': '2', 'top': False, 'plus': True, 'rank': 44, 'corrective_rank': 46, 'score': '25+'}]",3465,35.0,Elnaz,REKABI,,,IRI,49,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6141,Qualification,32.5,"[{'route_id': 1085, 'route_name': '1', 'top': False, 'plus': True, 'rank': 30, 'corrective_rank': 32, 'score': '23+'}, {'route_id': 1086, 'route_name': '2', 'top': False, 'plus': False, 'rank': 31, 'corrective_rank': 33, 'score': '29'}]",3594,36.0,Lynn,VAN DER MEER,,,NED,50,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6141,Qualification,34.29,"[{'route_id': 1085, 'route_name': '1', 'top': False, 'plus': False, 'rank': 27, 'corrective_rank': 28, 'score': '25'}, {'route_id': 1086, 'route_name': '2', 'top': False, 'plus': False, 'rank': 42, 'corrective_rank': 42, 'score': '28'}]",11813,37.0,Cloe,COSCOY,,,USA,20,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6141,Qualification,34.82,"[{'route_id': 1085, 'route_name': '1', 'top': False, 'plus': True, 'rank': 42, 'corrective_rank': 48.5, 'score': '19+'}, {'route_id': 1086, 'route_name': '2', 'top': False, 'plus': False, 'rank': 25, 'corrective_rank': 25, 'score': '33'}]",2141,38.0,Hsiu-ju,LIN,,,TPE,22,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6141,Qualification,35.1,"[{'route_id': 1085, 'route_name': '1', 'top': False, 'plus': True, 'rank': 30, 'corrective_rank': 32, 'score': '23+'}, {'route_id': 1086, 'route_name': '2', 'top': False, 'plus': True, 'rank': 36, 'corrective_rank': 38.5, 'score': '28+'}]",12324,39.0,Martina,DEMMEL,,,GER,6,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
